stadium_name,stadium_city,stadium_state,stadium_country,stadium_active,stadium_deleted,stadium_timezone
Goodyear Park (Springbok Park),Bloemfontein, Free State,South Africa,TRUE,FALSE,Africa/Johannesburg
"Sahara Stadium, Kingsmead (Kingsmead)",Durban, KwaZulu-Natal,South Africa,TRUE,FALSE,Africa/Johannesburg
Buffalo Park,East London, Eastern Cape,South Africa,TRUE,FALSE,Africa/Johannesburg
Moin-ul-Haq Stadium,Patna, Bihar,India,TRUE,FALSE,Asia/Kolkata
Punjab Cricket Association Stadium (Mohali),Mohali, Punjab,India,TRUE,FALSE,Asia/Kolkata
Reliance Stadium (formerly Indian Petrochemicals Corporation Limited Sports Complex Ground),Vadodara, Baroda,India,TRUE,FALSE,Asia/Kolkata
The Padang,Singapore, Singapore,Singapore,TRUE,FALSE,Asia/Singapore
"Toronto Cricket, Skating and Curling Club",Toronto, Ontario,Canada,TRUE,FALSE,Canada/Eastern
Gymkhana Club Ground,Nairobi, Nairobi County,Kenya,TRUE,FALSE,Africa/Nairobi
Nairobi Club Ground,Nairobi, Nairobi County,Kenya,TRUE,FALSE,Africa/Nairobi
Aga Khan Sports Club Ground,Nairobi, Nairobi County,Kenya,TRUE,FALSE,Africa/Nairobi
Bugti Stadium (formerly Racecourse Ground),Quetta, Balochistan,Pakistan,TRUE,FALSE,Asia/Karachi
Queens Sports Club,Bulawayo,Bulawayo,Zimbabwe,TRUE,FALSE,Africa/Harare
Boland Park (Boland Bank Park),Paarl, Western Cape,South Africa,TRUE,FALSE,Africa/Johannesburg
Willowmoore Park (Willowmoore Park Main Oval),Benoni, Gauteng,South Africa,TRUE,FALSE,Africa/Johannesburg
Nehru Stadium,Kochi, Kerala,India,TRUE,FALSE,Asia/Kolkata
De Beers Diamond Oval (formerly Kimberley Country Club/De Beers Country Club),Kimberley, Northern Cape,South Africa,TRUE,FALSE,Africa/Johannesburg
Sheikhupura Stadium,Sheikhupura, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
Owen Delany Park,Taupo, Waikato,New Zealand,TRUE,FALSE,Pacific/Auckland
National Cricket Stadium (Queen's Park),St. George's, Grenada (West Indies),Grenada,TRUE,FALSE,America/Grenada
County Ground,Hove, East Sussex,England,TRUE,FALSE,Europe/London
St Lawrence Ground,Canterbury, Kent,England,TRUE,FALSE,Europe/London
County Ground (Wantage Road),Northampton, Northamptonshire,England,TRUE,FALSE,Europe/London
SWALEC Stadium (Sophia Gardens),Cardiff, South Glamorgan,Wales,TRUE,FALSE,Europe/London
County Ground (Riverside),Chester-le-Street, County Durham,England,TRUE,FALSE,Europe/London
Clontarf Cricket Club Ground (Castle Avenue),Dublin,Leinster,Ireland,TRUE,FALSE,Europe/Dublin
Grange CC Ground,Edinburgh,Edinburgh,Scotland,TRUE,FALSE,Europe/London
VRA Cricket Ground,Amstelveen, North Holland,Netherlands,TRUE,FALSE,Europe/Amsterdam
Galle International Stadium,Galle, Southern Province,Sri Lanka,TRUE,FALSE,Asia/Colombo
Kallang Ground,Singapore, Singapore,Singapore,TRUE,FALSE,Asia/Singapore
Westpac Stadium(formerly WestpacTrust Stadium),Wellington, Wellington,New Zealand,TRUE,FALSE,Pacific/Auckland
"Docklands Stadium (Etihad Stadium, formerly Colonial Stadium/Telstra Dome)",Melbourne, Victoria,Australia,TRUE,FALSE,Australia/Melbourne
North West Cricket Stadium (Senwes Park),Potchefstroom, North West,South Africa,TRUE,FALSE,Africa/Johannesburg
Barkatullah Khan Stadium,Jodhpur, Rajasthan,India,TRUE,FALSE,Asia/Kolkata
Rangiri Dambulla International Stadium,Dambulla, Central Province,Sri Lanka,TRUE,FALSE,Asia/Colombo
Simba Union Ground,Nairobi, Nairobi County,Kenya,TRUE,FALSE,Africa/Nairobi
Darren Sammy National Cricket Stadium (Beausejour),Gros Islet, Saint Lucia (West Indies),Saint Lucia,TRUE,FALSE,America/St_Lucia
National Cricket Stadium,Tangier, Tangier-Tetouan,Morocco,TRUE,FALSE,Europe/Amsterdam
Indira Gandhi Stadium(Indira Gandhi Municipal Corporation Stadium),Vijayawada, Andhra Pradesh,India,TRUE,FALSE,Asia/Kolkata
Kwekwe Sports Club,Kwekwe, Midlands,Zimbabwe,TRUE,FALSE,Africa/Harare
Queenstown Events Centre(formerly Davies Park),Queenstown, Otago,New Zealand,TRUE,FALSE,Pacific/Auckland
City Oval (Alexandra Park),Pietermaritzburg, KwaZulu-Natal,South Africa,TRUE,FALSE,Africa/Johannesburg
Rose Bowl (Ageas Bowl),Southampton, Hampshire,England,TRUE,FALSE,Europe/London
Bundaberg Rum Stadium (Cazaly's Stadium),Cairns, Queensland,Australia,TRUE,FALSE,Australia/Queensland
Marrara Oval (Marrara Cricket Ground),Darwin, Northern Territory,Australia,TRUE,FALSE,Australia/Darwin
Multan Cricket Stadium,Multan, Punjab,Pakistan,TRUE,FALSE,Asia/Karachi
Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium (ACA-VDCA Stadium),Visakhapatnam, Andhra Pradesh,India,TRUE,FALSE,Asia/Kolkata
Rajiv Gandhi International Cricket Stadium,Hyderabad, Telangana,India,TRUE,FALSE,Asia/Kolkata
Shaheed Chandu Stadium,Bogra, Rajshahi Division,Bangladesh,TRUE,FALSE,Asia/Dhaka
Chittagong Divisional Stadium(Zahur Ahmed Chowdhury Stadium),Chittagong, Chittagong Division,Bangladesh,TRUE,FALSE,Asia/Dhaka
Sheikh Abu Naser Stadium(Khulna Divisional Stadium),Khulna, Khulna Division,Bangladesh,TRUE,FALSE,Asia/Dhaka
